Date;Close(SAND.ST)
2018-08-15 16:00;153.4
2018-08-15 15:30;154.5
2018-08-15 15:00;154.55
2018-08-15 14:30;154.75
2018-08-15 14:00;155.05
2018-08-15 13:30;154.8
2018-08-15 13:00;156.5
2018-08-15 12:30;157.55
2018-08-15 12:00;157.85
2018-08-15 11:30;157.9
2018-08-15 11:00;158.25
2018-08-15 10:30;158.7
2018-08-15 10:00;158.8
2018-08-15 09:30;158.25
2018-08-14 17:30;159.05
2018-08-14 17:00;159.1
2018-08-14 16:30;159.1
2018-08-14 16:00;159.35
2018-08-14 15:30;159.7
2018-08-14 15:00;159.6
2018-08-14 14:30;159
2018-08-14 14:00;159.15
2018-08-14 13:30;159.7
2018-08-14 13:00;159.75
2018-08-14 12:30;159.7
2018-08-14 12:00;159.65
2018-08-14 11:30;159.65
2018-08-14 11:00;159.85
2018-08-14 10:30;159.95
2018-08-14 10:00;160.5
2018-08-14 09:30;160.3
2018-08-13 17:30;159.8
2018-08-13 17:00;160.1
2018-08-13 16:30;159.95
2018-08-13 16:00;159.85
2018-08-13 15:30;159.25
2018-08-13 15:00;159.35
2018-08-13 14:30;159.7
2018-08-13 14:00;160
2018-08-13 13:30;160
2018-08-13 13:00;159.95
2018-08-13 12:30;159.5
2018-08-13 12:00;159.3
2018-08-13 11:30;159.55
2018-08-13 11:00;159.8
2018-08-13 10:30;159.3
2018-08-13 10:00;159.25
2018-08-13 09:30;160
2018-08-10 17:30;160.55
2018-08-10 17:00;160.65
2018-08-10 16:30;160.95
2018-08-10 16:00;160.35
2018-08-10 15:30;160.45
2018-08-10 15:00;160.45
2018-08-10 14:30;160.5
2018-08-10 14:00;160.45
2018-08-10 13:30;160.65
2018-08-10 13:00;160.95
2018-08-10 12:30;160.95
2018-08-10 12:00;160.55
2018-08-10 11:30;160.7
2018-08-10 11:00;160.3
2018-08-10 10:30;160.35
2018-08-10 10:00;160.1
2018-08-10 09:30;160.8
2018-08-09 17:30;161.3
2018-08-09 17:00;161.05
2018-08-09 16:30;161.2
2018-08-09 16:00;160.9
