sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-12-05;15,152;15,447;15,521;16,113;15,152;15,152;15,524;119973,5334027658;1862417,3;128;
2014-12-04;15,374;15,521;15,669;15,817;15,374;15,521;15,55;35558,83804600549;552922,2;81;
2014-12-03;15,817;16,039;16,039;16,26;15,078;15,891;15,754;85637,78300585813;1349149,3;129;
2014-12-02;15,558;15,768;15,907;15,907;15,00;15,768;15,495;123768,79987680026;1917850,6;172;
2014-12-01;15,698;15,768;16,186;16,186;15,349;15,768;15,693;71007,38969215029;1114316,8;111;
2014-11-28;15,698;16,047;15,907;16,047;15,489;16,047;15,751;54725,038772652755;861985,5;81;
2014-11-27;15,558;15,768;15,768;15,907;15,558;15,558;15,699;50294,69135256764;789567,2;98;
2014-11-26;15,768;15,838;16,186;16,186;15,698;15,768;15,946;98961,14761318553;1578021,8;136;
2014-11-25;16,186;16,396;16,465;16,605;16,186;16,186;16,364;68706,93430255577;1124338,2;106;
2014-11-24;16,326;16,465;16,884;16,954;16,047;16,465;16,509;153898,31560556413;2540800,6;200;
2014-11-21;16,884;17,024;17,093;17,093;16,535;17,024;16,79;46092,23951313394;773877,8;73;
2014-11-20;16,884;17,093;16,954;17,233;16,745;17,093;16,956;47776,37352109254;810103;80;
2014-11-19;16,884;17,442;17,303;17,442;16,745;17,303;17,068;37486,67305885022;639836,5;72;
2014-11-18;17,303;17,512;17,861;17,931;17,093;17,303;17,494;47511,211996435224;831176,1;118;
2014-11-17;17,791;17,861;18,14;18,14;17,721;17,791;17,891;60977,11753241052;1090925;105;
2014-11-14;17,652;17,791;17,442;18,00;17,163;17,791;17,677;173232,17401692877;3062210;239;
2014-11-13;17,163;17,303;16,745;18,14;16,605;17,163;17,373;618801,0002178406;10750892,68;651;
2014-11-12;15,768;15,838;15,489;16,186;15,419;15,838;15,686;91573,89086678673;1436471,2;99;
2014-11-11;15,349;15,489;16,117;16,117;15,349;15,419;15,628;118611,76654860023;1853703,7;150;
2014-11-10;15,977;16,186;15,768;16,326;15,768;16,186;16,07;76041,15874402311;1221973,3;91;
2014-11-07;16,047;16,256;16,396;16,396;15,628;16,047;16,102;119726,87825769963;1927857,1;182;
2014-11-06;16,326;16,465;15,558;16,605;15,419;16,465;16,093;266613,46316800126;4290679;348;
2014-11-05;15,419;15,489;14,233;15,838;13,186;15,419;14,787;708448,5284406304;10473473,05;875;
2014-11-04;16,605;16,675;15,349;18,768;15,00;16,675;17,396;1026755,589166959;17861264,7;1260;
2014-11-03;15,14;15,21;15,768;15,768;15,07;15,14;15,313;84808,6887241786;1298675,6;127;
2014-10-31;15,349;15,558;15,558;15,558;15,14;15,558;15,387;22962,98803532306;353337,4;54;
2014-10-30;15,279;15,489;15,698;15,698;15,07;15,279;15,348;65142,30342783832;999833;103;
